AI Player
3 3 5 4 1 3 2 3 1 6 6 6 1 4 3 3 6 4 2 5 6 2 4 3 2 6 3 2 6 2 
2
21 32 43 34 23 12 
0 21 32 32 34 23 12 
0 21 32 21 34 23 12 
0 21 32 21 34 12 12 
0 21 32 21 23 12 12 
0 10 32 21 23 12 12 
0 10 32 10 23 12 12 
0 10 21 10 23 12 12 
0 10 21 0 23 12 12 
0 0 21 0 23 12 12 
0 0 21 0 23 12 1 
0 0 21 0 23 12 0 
0 0 21 0 23 12 1 
0 1 21 0 23 12 1 
0 1 21 0 12 12 1 
0 1 21 1 12 12 1 
0 1 21 0 12 12 1 
0 1 21 0 12 12 0 
0 1 21 0 1 12 0 
0 1 10 0 1 12 0 
0 1 10 0 1 1 0 
0 1 10 0 1 1 1 
0 1 0 0 1 1 1 
